Defense,Adaptive_KL,Balanced_Tradeoff,Constrain_Scale,DBA_Part0,DBA_Part1,DBA_Part2,DBA_Part3,Naive_Bias,RKHS_Evasion,Spectral_Masking,Super_Adaptive,Variant_0,Variant_1,Variant_2,Variant_3,Variant_4,Variant_5,Variant_6,Variant_7,Variant_8,Mean_AUC
L2 Filter (Ablation),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.756,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9868
Krum,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7188,0.9828,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98508
TrimmedMean,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6196,0.9536,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.97866
FoolsGold,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5766,0.9856,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9781099999999998
FLAME,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5963999999999999,0.7564,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.96764
PINN Guard (Euclidean),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9652,0.45480000000000004,0.6920000000000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9556000000000001
FLTrust,0.9,0.9,0.98,0.94,0.96,0.96,0.9972,0.9964,0.98,0.6972,0.8732,0.8812,0.86,0.94,0.88,0.86,0.86,0.92,0.8523999999999999,0.94,0.9088800000000001
DeepSight,1.0,0.998,0.29519999999999996,0.44560000000000005,0.4308,0.39879999999999993,0.46399999999999997,0.4628,1.0,0.5648,0.8832,1.0,1.0,1.0,1.0,1.0,0.998,1.0,0.9995999999999999,0.9928,0.79668
RLR,0.45859999999999995,0.3788,0.5318,0.4396,0.5594,0.5144,0.498,0.48260000000000003,0.5419999999999999,0.5038,0.5327999999999999,0.41880000000000006,0.534,0.5094,0.5068,0.44500000000000006,0.4206,0.42080000000000006,0.5636,0.43560000000000004,0.48482000000000003
PINN Guard (Fisher),0.008,0.001200000000000001,1.0,1.0,1.0,1.0,1.0,0.8256000000000001,1.0,0.4484,0.06680000000000001,0.0,0.0032000000000000006,0.0012000000000000012,0.0,0.00040000000000000034,0.00040000000000000034,0.0,0.0,0.0,0.36776
