Defense,Attack,AUC,TPR@FPR5%,Best_F1
PINN Guard (Euclidean),Naive_Bias,1.0,1.0,1.0
PINN Guard (Euclidean),Adaptive_KL,1.0,1.0,1.0
PINN Guard (Euclidean),Super_Adaptive,0.6920000000000001,0.04,0.7130434782608696
PINN Guard (Euclidean),Balanced_Tradeoff,1.0,1.0,1.0
PINN Guard (Euclidean),RKHS_Evasion,0.9652,0.88,0.9183673469387755
PINN Guard (Euclidean),Spectral_Masking,0.45480000000000004,0.06,0.6666666666666666
PINN Guard (Euclidean),Constrain_Scale,1.0,1.0,1.0
PINN Guard (Euclidean),DBA_Part0,1.0,1.0,1.0
PINN Guard (Euclidean),DBA_Part1,1.0,1.0,1.0
PINN Guard (Euclidean),DBA_Part2,1.0,1.0,1.0
PINN Guard (Euclidean),DBA_Part3,1.0,1.0,1.0
PINN Guard (Euclidean),Variant_0,1.0,1.0,1.0
PINN Guard (Euclidean),Variant_1,1.0,1.0,1.0
PINN Guard (Euclidean),Variant_2,1.0,1.0,1.0
PINN Guard (Euclidean),Variant_3,1.0,1.0,1.0
PINN Guard (Euclidean),Variant_4,1.0,1.0,1.0
PINN Guard (Euclidean),Variant_5,1.0,1.0,1.0
PINN Guard (Euclidean),Variant_6,1.0,1.0,1.0
PINN Guard (Euclidean),Variant_7,1.0,1.0,1.0
PINN Guard (Euclidean),Variant_8,1.0,1.0,1.0
PINN Guard (Fisher),Naive_Bias,0.8256000000000001,0.16,0.8205128205128205
PINN Guard (Fisher),Adaptive_KL,0.008,0.0,0.6666666666666666
PINN Guard (Fisher),Super_Adaptive,0.06680000000000001,0.0,0.6666666666666666
PINN Guard (Fisher),Balanced_Tradeoff,0.001200000000000001,0.0,0.6666666666666666
PINN Guard (Fisher),RKHS_Evasion,1.0,1.0,1.0
PINN Guard (Fisher),Spectral_Masking,0.4484,0.06,0.6756756756756757
PINN Guard (Fisher),Constrain_Scale,1.0,1.0,1.0
PINN Guard (Fisher),DBA_Part0,1.0,1.0,1.0
PINN Guard (Fisher),DBA_Part1,1.0,1.0,1.0
PINN Guard (Fisher),DBA_Part2,1.0,1.0,1.0
PINN Guard (Fisher),DBA_Part3,1.0,1.0,1.0
PINN Guard (Fisher),Variant_0,0.0,0.0,0.6666666666666666
PINN Guard (Fisher),Variant_1,0.0032000000000000006,0.0,0.6666666666666666
PINN Guard (Fisher),Variant_2,0.0012000000000000012,0.0,0.6666666666666666
PINN Guard (Fisher),Variant_3,0.0,0.0,0.6666666666666666
PINN Guard (Fisher),Variant_4,0.00040000000000000034,0.0,0.6666666666666666
PINN Guard (Fisher),Variant_5,0.00040000000000000034,0.0,0.6666666666666666
PINN Guard (Fisher),Variant_6,0.0,0.0,0.6666666666666666
PINN Guard (Fisher),Variant_7,0.0,0.0,0.6666666666666666
PINN Guard (Fisher),Variant_8,0.0,0.0,0.6666666666666666
L2 Filter (Ablation),Naive_Bias,1.0,1.0,1.0
L2 Filter (Ablation),Adaptive_KL,1.0,1.0,1.0
L2 Filter (Ablation),Super_Adaptive,0.98,0.9,0.9607843137254902
L2 Filter (Ablation),Balanced_Tradeoff,1.0,1.0,1.0
L2 Filter (Ablation),RKHS_Evasion,1.0,1.0,1.0
L2 Filter (Ablation),Spectral_Masking,0.756,0.34,0.7304347826086957
L2 Filter (Ablation),Constrain_Scale,1.0,1.0,1.0
L2 Filter (Ablation),DBA_Part0,1.0,1.0,1.0
L2 Filter (Ablation),DBA_Part1,1.0,1.0,1.0
L2 Filter (Ablation),DBA_Part2,1.0,1.0,1.0
L2 Filter (Ablation),DBA_Part3,1.0,1.0,1.0
L2 Filter (Ablation),Variant_0,1.0,1.0,1.0
L2 Filter (Ablation),Variant_1,1.0,1.0,1.0
L2 Filter (Ablation),Variant_2,1.0,1.0,1.0
L2 Filter (Ablation),Variant_3,1.0,1.0,1.0
L2 Filter (Ablation),Variant_4,1.0,1.0,1.0
L2 Filter (Ablation),Variant_5,1.0,1.0,1.0
L2 Filter (Ablation),Variant_6,1.0,1.0,1.0
L2 Filter (Ablation),Variant_7,1.0,1.0,1.0
L2 Filter (Ablation),Variant_8,1.0,1.0,1.0
FLAME,Naive_Bias,1.0,1.0,1.0
FLAME,Adaptive_KL,1.0,1.0,1.0
FLAME,Super_Adaptive,0.7564,0.22,0.7642276422764228
FLAME,Balanced_Tradeoff,1.0,1.0,1.0
FLAME,RKHS_Evasion,1.0,1.0,1.0
FLAME,Spectral_Masking,0.5963999999999999,0.06,0.6853146853146853
FLAME,Constrain_Scale,1.0,1.0,1.0
FLAME,DBA_Part0,1.0,1.0,1.0
FLAME,DBA_Part1,1.0,1.0,1.0
FLAME,DBA_Part2,1.0,1.0,1.0
FLAME,DBA_Part3,1.0,1.0,1.0
FLAME,Variant_0,1.0,1.0,1.0
FLAME,Variant_1,1.0,1.0,1.0
FLAME,Variant_2,1.0,1.0,1.0
FLAME,Variant_3,1.0,1.0,1.0
FLAME,Variant_4,1.0,1.0,1.0
FLAME,Variant_5,1.0,1.0,1.0
FLAME,Variant_6,1.0,1.0,1.0
FLAME,Variant_7,1.0,1.0,1.0
FLAME,Variant_8,1.0,1.0,1.0
DeepSight,Naive_Bias,0.4628,0.02,0.6758620689655173
DeepSight,Adaptive_KL,1.0,1.0,1.0
DeepSight,Super_Adaptive,0.8832,0.58,0.8205128205128205
DeepSight,Balanced_Tradeoff,0.998,1.0,0.9803921568627451
DeepSight,RKHS_Evasion,1.0,1.0,1.0
DeepSight,Spectral_Masking,0.5648,0.08,0.71875
DeepSight,Constrain_Scale,0.29519999999999996,0.0,0.6756756756756757
DeepSight,DBA_Part0,0.44560000000000005,0.06,0.6713286713286714
DeepSight,DBA_Part1,0.4308,0.04,0.6666666666666666
DeepSight,DBA_Part2,0.39879999999999993,0.04,0.684931506849315
DeepSight,DBA_Part3,0.46399999999999997,0.0,0.6865671641791045
DeepSight,Variant_0,1.0,1.0,1.0
DeepSight,Variant_1,1.0,1.0,1.0
DeepSight,Variant_2,1.0,1.0,1.0
